stage,family,method,adopted,regime,indomain_rmse_cm,indomain_bias_cm,loro_gate_rmse_cm,loro_alaska_cm,loro_lena_cm,loro_canada_cm,key_caveat,source_csv
S1,실측-only,MLP(3-seed 앙상블 OOF),채택(in-domain 기준선),inductive,14.37,1.45,34.24,39.09,34.74,28.89,in-domain 최강군이나 전이(LORO)서 발산 경향. LORO 열은 S6 direct_mlp(매크로·SHARED25) 재평가,s1_baseline_oof.csv; s6_source_aware_results.csv
S1,실측-only,TabM(3-seed 앙상블 OOF),참고,inductive,14.4,0.93,,,,,MLP와 동률(CI 0 포함). S6 매크로 LORO 재평가 없음,s1_baseline_oof.csv
S1,실측-only,CatBoost,참고(GBM 대표),inductive,15.61,2.27,38.42,41.49,47.53,26.25,전이서 covariate shift 붕괴(LORO 게이트 38.4). LORO 열은 S6 direct_catboost,s1_baseline_oof.csv; s6_source_aware_results.csv
S1,실측-only,FT-Transformer,참고(전이 최선 DL),inductive,18.56,4.62,22.46,18.08,21.63,27.68,"LORO 열은 S1 구프로토콜(매크로 병합 전, US-Alaska 64셀 train 포함): S2 이후 게이트와 직접 비교 금지",s1_baseline_results.csv
S2,Stefan 앵커,Stefan E·√TDD (중앙값비 E),채택(전이 앵커),inductive,14.56,-0.99,22.24,17.57,21.66,27.48,물리 5종 중 유일하게 정확(나머지 상방편향 +10~+38cm). 전이 하한 담당,s2_physics_results.csv
S2/S4,Stefan 앵커,Stefan E·√TDD (최소제곱 E),채택(앵커 개선),inductive,14.46,-0.99,21.26,14.6,21.72,27.47,E 추정만 바꿔 게이트 22.24→21.26(약 1cm 개선). S4·S6서 재현 일치,s4_residual_results.csv; s6_source_aware_results.csv
S2,physics-as-feature,CatBoost+물리특징(A2),미채택,inductive,15.29,,38.0,43.22,44.73,26.04,"CSV 재계산 기준: in-domain catboost 15.55→15.29(Δ-0.26)·mlp Δ-0.09, S2 내부 LORO(지역평균) 39.37→37.28(Δ-2.09)로 이득 미미(로그의 'Δ+0.04 무익'은 재실행 전 수치). LORO 게이트 열은 S6 physfeat_catboost. direct 붕괴(38.0 vs 앵커 21.26)를 구제 못함. 물리=TDD 결정론 변환이라 신규 정보 없음",s2_physics_results.csv; s6_source_aware_results.csv
S3,고정가중 증강,catboost+Stefan pseudo(r=10),조건부 채택(정확 물리·약한 base 한정),inductive,,,,,16.55,31.81,base(r=0) Lena 21.9·Canada 34.0 → r=10 Lena 16.5·Canada 31.8. placebo 대비 순가치 Lena +1.7·Canada +10.2. 부정확 물리(Ku) r=10은 Lena 31.7·Canada 58.7로 악화. 블록분리 절반-test 프로토콜이라 LORO 게이트와 직접 비교 불가,s3_aug_curve_results.csv; s3_aug_curve_results_ftt.csv
S3,고정가중 증강,ftt+Stefan pseudo(r=10),조건부 채택(정확 물리·약한 base 한정),inductive,,,,,16.51,31.84,base(r=0) Lena 14.5·Canada 35.2 → r=10 Lena 16.5·Canada 31.8. placebo 대비 순가치 Lena +1.6·Canada +10.4. 부정확 물리(Ku) r=10은 Lena 31.5·Canada 63.3로 악화. 블록분리 절반-test 프로토콜이라 LORO 게이트와 직접 비교 불가,s3_aug_curve_results.csv; s3_aug_curve_results_ftt.csv
S6,naive pooling,pool_mlp(직접+Stefan+CCI 병합),미채택(전이만 최선),transductive(target 셀 보조관측 사용),16.18,-3.19,21.11,16.4,21.0,25.92,"LORO 게이트 최저(21.11)이나 inductive 전이 아님: test 지역 셀 좌표의 보조관측(Stefan pseudo·CCI)을 거리 버퍼 없이 학습에 넣는 transductive 설계(S5서 같은 메커니즘을 아티팩트로 기각). 21.11은 inductive 게이트로 비교 금지. in-domain도 파괴(16.18, direct 14.37 대비 악화)",s6_source_aware_results.csv
S6,고정가중 증강,fixaug_catboost(S3 최적 r=10 등가 가중),참고,transductive(target 셀 보조관측 사용),14.45,-1.0,21.28,14.57,21.74,27.52,앵커(21.26)와 동률(21.28)·in-domain도 앵커와 동률(14.45). 단 고정가중 증강은 test 지역 셀의 보조관측을 거리 버퍼 없이 학습에 넣는 transductive 설계라 게이트 수치는 inductive 아님(S5 아티팩트 기각과 동일 기준),s6_source_aware_results.csv
S4,잔차학습,Stefan 앵커+λ·저용량잔차(최선 λ>0),negative(전이)·채택(in-domain),inductive,13.33,0.63,21.83,17.59,21.36,26.55,λ>0 전 구간 게이트 악화(앵커 21.26 → 최선 λ>0 21.83). Alaska fold 파탄이 게이트 지배·inner CV λ 자동선택 불가. in-domain은 13.33(ridge·shared25·λ0.75)으로 프로젝트 최저,s4_residual_results.csv
S5,pretrain-finetune,dense Stefan pseudo 사전학습→FT-T finetune,negative(transductive 아티팩트),transductive(target 셀 보조관측 사용),,,21.56,15.22,22.12,27.35,게이트 22.47→21.56 개선 전량이 Alaska(transductive) fold(19.17→15.22). 깨끗한 Lena Δ+0.05 무효·Canada Δ-1.29 악화. mlp는 전이 발산(33.7→37.0),s5_pretrain_results.csv
S6,source-aware(A5),sa_fusion(공유 인코더+b_s+logσ_s),negative(게이트 미달),inductive,14.45,-1.84,21.53,16.12,21.6,26.87,"σ 융합. baseline 최고(pool_mlp 21.11) 미달. in-domain은 pooling 파괴를 유의 회복(sa_z 14.35 vs pool_mlp 16.18, Δ+1.80 [0.48,3.03])하나 앵커와 동률. sa_z cov90 0.996은 구간폭 발산(473cm)의 무정보 커버리지",s6_source_aware_results.csv
S6,source-aware(A5),sa_z(공유 인코더+b_s+logσ_s),negative(게이트 미달),inductive,14.35,-2.29,21.84,16.35,21.69,27.5,"공유 잠재 z. baseline 최고(pool_mlp 21.11) 미달. in-domain은 pooling 파괴를 유의 회복(sa_z 14.35 vs pool_mlp 16.18, Δ+1.80 [0.48,3.03])하나 앵커와 동률. sa_z cov90 0.996은 구간폭 발산(473cm)의 무정보 커버리지",s6_source_aware_results.csv
S8,mixture-of-physics,mix_logit(물리 5종+공변량 게이트),negative(진단만 채택),inductive,14.97,2.84,29.22,36.48,21.84,29.33,단일 Stefan(22.24)에 미달. Alaska fold서 게이트가 상방편향 λ전문가 61% 배정 → 36.5 파탄. 정확한 전문가가 Stefan뿐(물리 5종 상관 0.89-1.00). oracle 하한 15.48(모델 아님·진단),s8_mixture_results.csv
